1  2
1  3
1  4
1  5
1  6
1  7
1  8
1  9
1  10
1  11
1  12
1  13
14  15
14  16
14  17
14  18
14  19
14  20
14  21
14  22
14  23
14  24
14  10
14  11
14  25
14  26
14  27
14  28
14  29
14  30
14  31
14  12
14  6
14  32
14  33
14  34
14  35
14  36
14  37
14  38
14  39
40  41
40  34
40  42
40  43
40  44
40  22
40  45
40  18
40  35
40  30
46  15
46  36
46  47
46  37
46  18
46  19
46  28
46  23
46  24
46  44
46  26
46  48
46  27
46  20
46  31
46  43
46  49
46  32
46  33
46  35
46  25
46  17
46  38
46  12
47  27
47  28
47  15
47  25
47  37
47  18
47  19
47  49
47  32
47  35
47  36
47  17
47  23
47  26
47  38
47  48
18  9
18  19
18  20
18  50
18  10
18  11
18  23
18  45
18  27
18  29
18  51
18  2
18  4
18  5
18  32
18  33
18  34
18  25
18  17
18  48
18  35
18  15
18  13
18  21
18  52
18  42
18  24
18  53
18  44
18  26
18  28
18  30
18  54
18  43
18  49
18  55
18  56
18  38
18  37
18  57
9  13
9  20
9  21
9  8
9  23
9  10
9  11
9  27
9  29
9  2
9  31
9  3
9  4
9  7
9  6
9  12
9  49
9  32
9  34
9  25
9  17
9  38
9  58
19  49
19  15
19  28
19  23
19  36
19  37
19  11
19  38
19  26
19  35
19  48
20  15
20  13
20  11
20  17
20  16
20  31
20  8
20  50
20  59
20  10
20  60
20  23
20  38
20  27
20  29
20  51
20  2
20  54
20  43
20  4
20  32
20  55
20  57
20  33
20  34
20  58
20  25
20  61
20  62
20  63
20  52
20  39
20  35
20  42
62  13
62  28
62  21
62  23
62  53
62  10
62  51
62  27
62  60
62  31
62  54
62  3
62  61
62  50
62  32
62  55
62  56
62  33
62  59
62  16
62  17
62  63
62  12
62  57
50  28
50  53
50  23
50  10
50  60
50  27
50  51
50  54
50  31
50  3
50  61
50  6
50  55
50  32
50  59
50  16
50  17
50  63
50  38
50  12
50  57
38  44
38  10
38  11
38  48
38  27
38  29
38  51
38  2
38  4
38  32
38  5
38  33
38  34
38  36
38  17
38  45
38  35
38  15
38  13
38  52
38  22
38  23
38  24
38  53
38  64
38  25
38  26
38  28
38  30
38  54
38  43
38  49
38  55
38  56
38  37
38  12
38  57
10  61
10  13
10  21
10  59
10  12
10  23
10  28
10  29
10  51
10  2
10  3
10  4
10  6
10  7
10  65
10  16
10  17
10  63
11  7
11  15
11  25
11  17
11  21
11  8
11  22
11  23
11  24
11  16
11  26
11  2
11  27
11  29
11  30
11  31
11  4
11  5
11  6
11  35
11  32
11  33
11  34
11  36
11  37
11  12
11  39
23  61
23  48
23  27
23  29
23  60
23  3
23  4
23  35
23  32
23  33
23  34
23  58
23  16
23  17
23  15
23  13
23  37
23  21
23  8
23  22
23  24
23  51
23  25
23  26
23  28
23  30
23  31
23  36
23  49
23  55
23  59
23  63
23  12
45  27
45  41
45  30
45  43
45  32
45  33
45  34
45  42
45  44
45  22
27  15
27  13
27  58
27  60
27  28
27  16
27  44
27  48
27  26
27  31
27  29
27  51
27  4
27  54
27  43
27  3
27  61
27  59
27  36
27  49
27  55
27  56
27  34
27  25
27  17
27  63
27  37
27  39
27  35
27  12
29  28
29  21
29  26
29  2
29  4
29  32
29  6
29  49
29  5
29  33
29  34
29  25
29  12
51  15
51  53
51  52
51  33
51  28
51  60
51  31
51  54
51  3
51  61
51  55
51  56
51  59
51  16
51  37
51  63
51  57
2  3
2  4
2  5
2  12
2  7
2  6
2  34
2  16
